ID,flag
28,1.0
230,1.0
429,1.0
693,1.0
727,1.0
990,1.0
1137,1.0
1274,1.0
1560,1.0
1873,1.0
2260,1.0
2694,1.0
2992,1.0
3261,1.0
3313,1.0
3537,1.0
3719,1.0
3720,1.0
3742,1.0
3770,1.0
4107,1.0
4321,1.0
4911,1.0
5267,1.0
5646,1.0
6172,1.0
6357,1.0
6370,1.0
7662,1.0
7706,1.0
7824,1.0
7865,1.0
8444,1.0
8492,1.0
8608,1.0
8663,1.0
8854,1.0
8872,1.0
8972,1.0
9095,1.0
9124,1.0
9476,1.0
9542,1.0
9663,1.0
9998,1.0
10470,1.0
10813,1.0
10869,1.0
10994,1.0
10995,1.0
10999,1.0
11796,1.0
12192,1.0
12233,1.0
12404,1.0
12418,1.0
12660,1.0
13491,1.0
13593,1.0
13957,1.0
14254,1.0
14485,1.0
14520,1.0
14555,1.0
15099,1.0
15197,1.0
15385,1.0
15416,1.0
15685,1.0
15886,1.0
16069,1.0
16326,1.0
16758,1.0
16884,1.0
16999,1.0
17641,1.0
17646,1.0
18216,1.0
18366,1.0
18509,1.0
18837,1.0
18932,1.0
19112,1.0
19317,1.0
19501,1.0
19559,1.0
19651,1.0
19876,1.0
20333,1.0
20540,1.0
20686,1.0
20812,1.0
20853,1.0
20921,1.0
21044,1.0
21593,1.0
21913,1.0
21933,1.0
21985,1.0
22166,1.0
22549,1.0
22785,1.0
22869,1.0
23208,1.0
23245,1.0
23491,1.0
23961,1.0
24265,1.0
24611,1.0
24623,1.0
25111,1.0
25208,1.0
25529,1.0
25732,1.0
25947,1.0
26293,1.0
26448,1.0
26730,1.0
26885,1.0
26888,1.0
27003,1.0
27258,1.0
27622,1.0
27678,1.0
27935,1.0
28415,1.0
28529,1.0
29118,1.0
29357,1.0
29403,1.0
29427,1.0
29593,1.0
29601,1.0
29967,1.0
29976,1.0
30132,1.0
30246,1.0
30264,1.0
30302,1.0
30369,1.0
31143,1.0
31438,1.0
31622,1.0
31842,1.0
32128,1.0
32253,1.0
32388,1.0
32579,1.0
32676,1.0
32760,1.0
32969,1.0
32995,1.0
33282,1.0
34049,1.0
34074,1.0
34248,1.0
34308,1.0
34470,1.0
34569,1.0
34772,1.0
34823,1.0
35119,1.0
35426,1.0
35492,1.0
35662,1.0
35703,1.0
35750,1.0
35844,1.0
35887,1.0
36046,1.0
36360,1.0
36679,1.0
36727,1.0
36740,1.0
36941,1.0
37342,1.0
37412,1.0
37653,1.0
37721,1.0
38023,1.0
38032,1.0
38062,1.0
38296,1.0
38401,1.0
38406,1.0
38610,1.0
38611,1.0
38714,1.0
38764,1.0
38864,1.0
38946,1.0
39802,1.0
40190,1.0
40231,1.0
40950,1.0
41027,1.0
41159,1.0
41345,1.0
41405,1.0
41451,1.0
41570,1.0
41860,1.0
41906,1.0
42114,1.0
42406,1.0
42484,1.0
42739,1.0
42770,1.0
43021,1.0
44291,1.0
44974,1.0
45221,1.0
45362,1.0
45750,1.0
45825,1.0
46259,1.0
46274,1.0
46556,1.0
46787,1.0
47053,1.0
47264,1.0
47267,1.0
47352,1.0
47417,1.0
47464,1.0
47871,1.0
